96276,88,Lashio,98.9675,22.967222,"22? 58' 02""",Shan,,0,96276,98.9675,22.967222,POINT,(98.9675,22.967222),10445,1254,5355,893,4439,118,73,42.4988032551,,
12398,89,Lashio,96.67,23.114167,"23? 06' 51""",Shan,,0,12398,96.67,23.114167,POINT,(96.67,23.114167),13652,3907,7565,482,3559,166,321,26.069440375,,
50050,90,Lashio,98.039444,22.423611,"22? 25' 25""",Shan,,0,50050,98.039444,22.423611,POINT,(98.039444,22.423611),13328,2245,4855,271,1801,125,189,13.5129051621,,
135720,91,Lashio,97.901667,23.99,"23? 59' 24""",Shan,,0,135720,97.901667,23.99,POINT,(97.901667,23.99),32758,4919,25895,4056,23105,2238,2227,70.5323890347,,
83740,92,Lashio,97.161389,22.964167,"22? 57' 51""",Shan,,0,83740,97.161389,22.964167,POINT,(97.161389,22.964167),13685,3159,5344,316,1338,123,23,9.7771282426,,
59650,93,Lashio,97.400556,23.093611,"23? 05' 37""",Shan,,0,59650,97.400556,23.093611,POINT,(97.40055599999999,23.093611),11641,2794,7341,410,1223,232,56,10.5059702775,,
7266,94,Lashio,96.798889,22.33,"22? 19' 48""",Shan,,0,7266,96.798889,22.33,POINT,(96.798889,22.33),32224,11257,17657,1239,10409,508,1216,32.3020109235,,
11115,95,Lashio,99.150833,22.180278,"22? 10' 49""",Shan,,0,11115,99.150833,22.180278,POINT,(99.15083300000001,22.180278),16457,1598,7980,1012,7158,825,887,43.4951692289,,
41579,96,Lashio,99.315833,23.035,"23? 02' 06""",Shan,,0,41579,99.315833,23.035,POINT,(99.315833,23.035),13969,1065,5123,405,7238,84,58,51.8147326222,,
30256,97,Lashio,98.396667,22.498056,"22? 29' 53""",Shan,,0,30256,98.396667,22.498056,POINT,(98.39666699999999,22.498056),35142,7867,15929,794,3698,424,471,10.5230208867,,
218,98,Kengtaung,98.865833,21.961944,"21? 57' 43""",Shan,,0,218,98.865833,21.961944,POINT,(98.86583299999999,21.961944),3318,810,728,28,150,20,15,4.52079566,,
5734,99,Kengtaung,99.31,22.008333,"22? 00' 30""",Shan,,0,5734,99.31,22.008333,POINT,(99.31,22.008333),6165,2497,3103,262,2354,155,299,38.1832927818,,
4449,100,Kengtaung,99.247222,20.505556,"20? 30' 20""",Shan,,0,4449,99.247222,20.505556,POINT,(99.24722199999999,20.505556),19111,2279,8141,594,3320,377,368,17.3721940244,,
32908,101,Kengtaung,99.463889,21.75,"21? 44' 60""",Shan,,0,32908,99.463889,21.75,POINT,(99.46388899999999,21.75),8025,637,2515,233,920,55,26,11.4641744548,,
7513,102,Kengtaung,100.018611,21.672778,"21? 40' 22""",Shan,,0,7513,100.018611,21.672778,POINT,(100.018611,21.672778),5208,428,3506,453,2891,326,590,55.5107526882,,
14123,103,Kengtaung,99.026111,21.350278,"21? 21' 01""",Shan,,0,14123,99.026111,21.350278,POINT,(99.026111,21.350278),13299,2112,4238,277,2199,149,149,16.5350778254,,
3280,104,Kengtaung,98.9,20.303611,"20? 18' 13""",Shan,,0,3280,98.9,20.303611,POINT,(98.90000000000001,20.303611),12521,1634,4252,389,2171,173,260,17.3388706972,,
9296,105,Kengtaung,99.687222,21.842222,"21? 50' 32""",Shan,,0,9296,99.687222,21.842222,POINT,(99.68722200000001,21.842222),19404,1401,10699,1505,10105,249,271,52.0768913626,,
25825,106,Kengtaung,100.359444,21.181667,"21? 10' 54""",Shan,,0,25825,100.359444,21.181667,POINT,(100.359444,21.181667),17196,2421,11637,1571,9576,237,309,55.6873691556,,
50180,107,Kengtaung,99.884167,20.453056,"20? 27' 11""",Shan,,0,50180,99.884167,20.453056,POINT,(99.88416700000001,20.453056),37673,13779,27229,2210,25555,2999,2758,67.8337270724,,
9090,108,Yangon,95.982778,17.0175,"17? 01' 03""",Yangon,,0,9090,95.982778,17.0175,POINT,(95.982778,17.0175),26781,8593,10628,760,4226,155,880,15.7798439192,,
9090,109,Yangon,95.982778,17.0175,"17? 01' 03""",Yangon,,0,9090,95.982778,17.0175,POINT,(95.982778,17.0175),34211,9038,17482,1107,12085,308,1652,35.3248955014,,
32725,110,Yangon,96.061944,16.546111,"16? 32' 46""",Yangon,,0,32725,96.061944,16.546111,POINT,(96.061944,16.546111),29792,11755,12933,1299,8972,263,760,30.1154672395,,
37401,111,Yangon,96.560556,16.905556,"16? 54' 20""",Yangon,,0,37401,96.560556,16.905556,POINT,(96.56055600000001,16.905556),39314,15356,18446,2006,11113,526,1376,28.2672839192,,
14838,112,Yangon,96.011944,16.439444,"16? 26' 22""",Yangon,,0,14838,96.011944,16.439444,POINT,(96.011944,16.439444),28352,10231,10921,1401,9501,216,838,33.5108634312,,
63751,113,Yangon,95.963333,17.3125,"17? 18' 45""",Yangon,,0,63751,95.963333,17.3125,POINT,(95.96333300000001,17.3125),66999,19566,29482,2654,19843,904,2721,29.6168599531,,
65510,114,Yangon,96.251944,16.763889,"16? 45' 50""",Yangon,,0,65510,96.251944,16.763889,POINT,(96.25194399999999,16.763889),61597,12407,40478,2406,34221,3308,6175,55.5562770914,,
39651,115,Yangon,96.523056,16.758611,"16? 45' 31""",Yangon,,0,39651,96.523056,16.758611,POINT,(96.523056,16.758611),40087,13950,20240,2254,12578,604,1785,31.3767555567,,
39651,116,Yangon,95.930556,16.707222,"16? 42' 26""",Yangon,,0,39651,95.930556,16.707222,POINT,(95.930556,16.707222),51602,20369,27114,2740,16828,591,1947,32.6111391031,,
39930,117,Mandalay,96.095833,21.939444,"21? 56' 22""",Mandalay,,0,39930,96.095833,21.939444,POINT,(96.095833,21.939444),61961,32109,23923,2859,19350,731,1330,31.2293216701,,
35181,118,Mandalay,95.132222,20.8425,"20? 50' 33""",Mandalay,,0,35181,95.132222,20.8425,POINT,(95.132222,20.8425),57765,20786,32348,1069,23029,1520,4523,39.8667012897,,
21662,119,Mandalay,96.11,19.634722,"19? 38' 05""",Mandalay,,0,21662,96.11,19.634722,POINT,(96.11,19.634722),58645,23938,29163,2167,15334,629,2101,26.1471566203,,
12014,120,Mandalay,96.091111,21.958889,"21? 57' 32""",Mandalay,,0,12014,96.091111,21.958889,POINT,(96.091111,21.958889),33327,17940,13999,1973,5134,376,636,15.4049269361,,
187728,121,Mandalay,95.646944,21.098611,"21? 05' 55""",Mandalay,,0,187728,95.646944,21.098611,POINT,(95.646944,21.098611),68439,30247,37173,3216,27623,2256,4548,40.3614897938,,
75372,122,Mandalay,95.863056,20.881944,"20? 52' 55""",Mandalay,,0,75372,95.863056,20.881944,POINT,(95.863056,20.881944),35247,9219,22693,1585,14888,1394,3433,42.2390558062,,
91370,123,Mandalay,96.505278,22.921389,"22? 55' 17""",Mandalay,,0,91370,96.505278,22.921389,POINT,(96.505278,22.921389),62340,26801,27372,2714,20665,1081,1275,33.1488610844,,
17889,124,Mandalay,95.391667,21.4575,"21? 27' 27""",Mandalay,,0,17889,95.391667,21.4575,POINT,(95.391667,21.4575),46017,17847,23604,963,13079,474,1250,28.4221048743,,
13037,125,Mandalay,96.130833,21.424167,"21? 25' 27""",Mandalay,,0,13037,96.130833,21.424167,POINT,(96.130833,21.424167),40965,20225,16025,2027,10587,263,462,25.844013182,,
6731,126,Mandalay,95.654444,21.423611,"21? 25' 25""",Mandalay,,0,6731,95.654444,21.423611,POINT,(95.654444,21.423611),27838,13882,9437,1172,5093,155,317,18.2951361448,,
46951,127,Mandalay,95.685,21.896944,"21? 53' 49""",Mandalay,,0,46951,95.685,21.896944,POINT,(95.685,21.896944),54473,26744,19511,1976,18059,1002,1919,33.1522038441,,
13489,128,Mandalay,94.91,21.195556,"21? 11' 44""",Mandalay,,0,13489,94.91,21.195556,POINT,(94.91,21.195556),52990,18331,32719,1482,30026,1723,6208,56.6635214191,,
30316,129,Mandalay,96.154167,22.0125,"22? 00' 45""",Mandalay,,0,30316,96.154167,22.0125,POINT,(96.154167,22.0125),58863,28636,20989,1795,15515,542,1493,26.3578139069,,
267073,130,Mandalay,96.130278,21.613333,"21? 36' 48""",Mandalay,,0,267073,96.130278,21.613333,POINT,(96.130278,21.613333),65174,29022,25002,2111,20475,857,1640,31.4159020468,,
151544,131,Mandalay,96.104167,21.901944,"21? 54' 07""",Mandalay,,0,151544,96.104167,21.901944,POINT,(96.104167,21.901944),39663,12503,24138,2896,19120,1867,3753,48.2061367017,,
20789,132,Mandalay,95.973611,21.818889,"21? 49' 08""",Mandalay,,0,20789,95.973611,21.818889,POINT,(95.97361100000001,21.818889),51747,22626,19819,1280,18168,809,2581,35.1092816975,,
127295,133,Mandalay,96.208889,19.736111,"19? 44' 10""",Mandalay,,0,127295,96.208889,19.736111,POINT,(96.208889,19.736111),53382,18200,38509,2757,35827,4006,5727,67.1143831254,,
6333,134,Mandalay,96.456389,22.013889,"22? 00' 50""",Mandalay,,0,6333,96.456389,22.013889,POINT,(96.456389,22.013889),34533,12573,14466,1707,8437,378,1047,24.4317030087,,
7417,135,Mandalay,95.998889,22.549722,"22? 32' 59""",Mandalay,,0,7417,95.998889,22.549722,POINT,(95.99888900000001,22.549722),33579,12650,19676,790,14191,795,2151,42.2615325054,,
10251,136,Mandalay,96.103611,21.731111,"21? 43' 52""",Mandalay,,0,10251,96.103611,21.731111,POINT,(96.103611,21.731111),32627,15446,15729,798,10158,353,1693,31.1337236032,,
16547,137,Mandalay,96.203056,20.130278,"20? 07' 49""",Mandalay,,0,16547,96.203056,20.130278,POINT,(96.203056,20.130278),49852,26657,14528,1923,11643,349,697,23.3551311883,,
12304,138,Mandalay,95.445278,21.276111,"21? 16' 34""",Mandalay,,0,12304,95.445278,21.276111,POINT,(95.445278,21.276111),33141,10004,13540,1465,3559,405,160,10.7389638212,,
18559,139,Mandalay,95.975278,22.885833,"22? 53' 09""",Mandalay,,0,18559,95.975278,22.885833,POINT,(95.975278,22.885833),44892,20419,18880,1377,12542,520,1364,27.9381627016,,
25672,140,Mandalay,96.058333,20.850278,"20? 51' 01""",Mandalay,,0,25672,96.058333,20.850278,POINT,(96.058333,20.850278),53569,24940,21342,2179,13075,457,1858,24.4077731524,,
17377,141,Mandalay,96.03,21.096944,"21? 05' 49""",Mandalay,,0,17377,96.03,21.096944,POINT,(96.03,21.096944),57259,29768,19224,1236,12993,506,676,22.6916292635,,
